Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Explanation
Arrays,What is the time complexity of searching for an element in an unsorted array?,O(1),O(log n),O(n),O(n^2),C,Easy,"In the worst case, you might have to search through the entire array to find the element, which takes O(n) time."
Strings,Which of the following methods is used to compare two strings in Java?,compare(),equals(),compareTo(),Both B and C,D,Medium,"In Java, equals() checks for content equality, while compareTo() compares lexicographically."
Sorting,What is the best case time complexity of QuickSort?,O(n^2),O(n log n),O(n),O(log n),B,Hard,"In the best case, QuickSort partitions the array into two equal halves, resulting in O(n log n) complexity."
Trees,What is the height of a binary tree with n nodes in the worst case?,O(n),O(log n),O(n log n),O(1),A,Medium,"In the worst case, the binary tree can become a skewed tree (like a linked list), resulting in a height of O(n)."
Linked Lists,What is the time complexity of inserting an element at the beginning of a singly linked list?,O(1),O(n),O(log n),O(n^2),A,Easy,"Inserting an element at the beginning of a singly linked list is a constant time operation, O(1)."
Graphs,What is the time complexity of BFS in a graph with V vertices and E edges?,O(V + E),O(V^2),O(E),O(V),A,Medium,"BFS explores all vertices and edges, making the time complexity O(V + E)."
Sorting,Which of the following sorting algorithms has the best average case time complexity?,Bubble Sort,Insertion Sort,QuickSort,Merge Sort,C,Medium,"QuickSort has an average time complexity of O(n log n), which is better than other algorithms like Bubble Sort and Insertion Sort."
Stacks,What is the time complexity of pushing an element into a stack?,O(1),O(n),O(log n),O(n^2),A,Easy,"Pushing an element into a stack is a constant time operation, O(1)."
Queues,What is the time complexity of dequeuing an element from a queue?,O(1),O(n),O(log n),O(n^2),A,Easy,"Dequeuing an element from a queue is a constant time operation, O(1)."
Trees,What is the time complexity of searching for an element in a balanced binary search tree?,O(n),O(log n),O(n log n),O(1),B,Medium,"In a balanced binary search tree, searching for an element is a logarithmic operation, O(log n)."
Hash Tables,What is the average time complexity of searching for a key in a hash table?,O(1),O(log n),O(n),O(n^2),A,Medium,"In a hash table, the average time complexity for searching is O(1), assuming a good hash function and no collisions."
Graphs,What is the time complexity of Depth-First Search (DFS) in a graph?,O(V + E),O(V^2),O(E),O(V),A,Medium,"DFS explores all vertices and edges, so the time complexity is O(V + E)."
Sorting,What is the worst case time complexity of Merge Sort?,O(n log n),O(n^2),O(n),O(log n),A,Medium,"Merge Sort always divides the array in half, resulting in a worst-case time complexity of O(n log n)."
Arrays,What is the time complexity of accessing an element in an array by index?,O(1),O(n),O(log n),O(n^2),A,Easy,"Accessing an element in an array by index is a constant time operation, O(1)."
Linked Lists,What is the time complexity of finding the middle element in a singly linked list?,O(n),O(log n),O(1),O(n^2),A,Medium,"Finding the middle element in a singly linked list requires traversing the list, so the time complexity is O(n)."
Graphs,Which algorithm is used to find the shortest path in a graph with positive edge weights?,Dijkstra's Algorithm,Bellman-Ford Algorithm,Floyd-Warshall Algorithm,DFS,C,Medium,"Dijkstra's Algorithm is used for finding the shortest path in graphs with positive edge weights."
Sorting,Which sorting algorithm is unstable?,QuickSort,Merge Sort,Heap Sort,Insertion Sort,A,Medium,"QuickSort is an unstable sorting algorithm, meaning that it does not guarantee to preserve the order of equal elements."
Dynamic Programming,Which of the following problems can be solved using dynamic programming?,Knapsack Problem,QuickSort,Selection Sort,Merge Sort,A,Hard,"The Knapsack Problem can be solved using dynamic programming, while the others are not typically solved using this technique."
Graphs,Which of the following is a characteristic of a tree?,It contains cycles,It has only one root node,It can have multiple root nodes,It is a directed graph,B,Medium,"A tree is a connected acyclic graph that has exactly one root node."
Trees,What is the worst-case time complexity of searching in a red-black tree?,O(log n),O(n),O(n log n),O(1),A,Medium,"In a red-black tree, the height is bounded by O(log n), making search operations O(log n) in the worst case."
Sorting,What is the time complexity of the worst case of Bubble Sort?,O(n^2),O(n log n),O(n),O(log n),A,Easy,"Bubble Sort has a worst-case time complexity of O(n^2), where elements are repeatedly swapped."
Stacks,What is the time complexity of popping an element from a stack?,O(1),O(n),O(log n),O(n^2),A,Easy,"Popping an element from a stack is a constant time operation, O(1)."
Queues,Which of the following is true about a queue?,Elements are added from the front,Elements are removed from the back,It follows FIFO order,It follows LIFO order,C,Easy,"A queue follows the FIFO (First In First Out) order for adding and removing elements."
Linked Lists,What is the time complexity of deleting the first element in a singly linked list?,O(1),O(n),O(log n),O(n^2),A,Easy,"Deleting the first element in a singly linked list is a constant time operation, O(1)."
Strings,What is the time complexity of concatenating two strings in Java?,O(n),O(log n),O(n^2),O(1),A,Medium,"Concatenating two strings in Java requires O(n) time where n is the length of the longer string."
Sorting,Which sorting algorithm has the best worst-case time complexity?,Merge Sort,QuickSort,Bubble Sort,Insertion Sort,A,Medium,"Merge Sort has the best worst-case time complexity of O(n log n) compared to other algorithms."
Trees,What is the maximum number of children a node can have in a binary tree?,1,2,3,4,B,Easy,"In a binary tree, each node can have at most two children."
Arrays,What is the time complexity of finding the maximum element in an unsorted array?,O(n),O(log n),O(1),O(n^2),A,Easy,"Finding the maximum element in an unsorted array requires scanning all elements, taking O(n) time."
Graphs,What is the time complexity of checking if a graph is connected using DFS?,O(V + E),O(V^2),O(E),O(V),A,Medium,"Checking if a graph is connected using DFS requires visiting all vertices and edges, resulting in O(V + E) time complexity."
Dynamic Programming,What is the time complexity of the Fibonacci sequence using dynamic programming?,O(n),O(2^n),O(n^2),O(log n),A,Medium,"Using dynamic programming to solve the Fibonacci sequence takes O(n) time as it stores the previously computed values."
